st,end,sex,x,cod_cancer,cod_dementia,cod_circ,cod_resp,cod_covid,pt,h,rate
2015-09-01,2015-09-30,1,270,32,89,60,31,0,626.8008213552362,64,43.07588484268735
2015-09-01,2015-09-30,2,531,44,202,123,68,0,1608.6570841889118,96,33.00889948635208
2015-10-01,2015-10-31,1,301,31,85,81,44,0,658.757015742642,79,45.692112995665205
2015-10-01,2015-10-31,2,519,55,171,148,69,0,1682.239561943874,102,30.85172954797718
2015-11-01,2015-11-30,1,331,31,105,75,51,0,630.6721423682409,87,52.48368807873134
2015-11-01,2015-11-30,2,556,42,210,140,74,0,1615.9945242984259,105,34.406057176547925
2015-12-01,2015-12-31,1,290,30,93,81,34,0,648.4271047227926,71,44.72360854254807
2015-12-01,2015-12-31,2,635,42,245,155,84,0,1660.8596851471593,114,38.233211732376795
2016-01-01,2016-01-31,1,316,24,110,79,58,0,639.7754962354551,77,49.39232619245287
2016-01-01,2016-01-31,2,669,55,265,150,98,0,1637.1143052703626,123,40.86458702647018
2016-02-01,2016-02-29,1,303,20,95,87,45,0,600.0711841204654,82,50.49400938058911
2016-02-01,2016-02-29,2,625,44,227,161,92,0,1530.9568788501026,115,40.824141335021515
2016-03-01,2016-03-31,1,290,33,87,71,36,0,659.8329911019849,74,43.95051534414367
2016-03-01,2016-03-31,2,638,44,238,160,75,0,1667.5811088295686,121,38.259008609649904
2016-04-01,2016-04-30,1,298,38,99,71,46,0,642.7734428473649,77,46.36159183551771
2016-04-01,2016-04-30,2,600,43,224,164,62,0,1621.0239561943874,112,37.013641760643424
2016-05-01,2016-05-31,1,250,30,76,60,34,0,663.8302532511977,55,37.66022997228455
2016-05-01,2016-05-31,2,508,47,191,123,58,0,1672.3969883641341,96,30.375562951527645
2016-06-01,2016-06-30,1,285,28,91,71,39,0,644.0301163586585,72,44.252588933478435
2016-06-01,2016-06-30,2,492,38,157,144,68,0,1623.1430527036277,107,30.31156121331932
2016-07-01,2016-07-31,1,277,33,80,71,47,0,668.8596851471594,68,41.41376826128424
2016-07-01,2016-07-31,2,556,48,211,141,63,0,1683.6139630390144,120,33.02419748268124
2016-08-01,2016-08-31,1,264,27,88,60,36,0,677.2265571526351,56,38.982523235647264
2016-08-01,2016-08-31,2,537,41,205,148,46,0,1697.7056810403833,108,31.630924370289975
2016-09-01,2016-09-30,1,265,30,79,54,41,0,651.7782340862424,67,40.65800085691962
2016-09-01,2016-09-30,2,522,55,199,122,54,0,1632.2026009582478,101,31.98132386834451
2016-10-01,2016-10-31,1,270,33,87,69,39,0,666.5106091718001,60,40.5094827125857
2016-10-01,2016-10-31,2,551,52,188,160,59,0,1669.5304585900067,105,33.00329126461965
2016-11-01,2016-11-30,1,302,33,103,66,49,0,636.7392197125257,74,47.42915005869226
2016-11-01,2016-11-30,2,582,45,243,126,73,0,1600.1916495550993,102,36.37064348897292
2016-12-01,2016-12-31,1,370,34,146,72,53,0,654.9158110882956,96,56.49581117688372
2016-12-01,2016-12-31,2,727,43,292,166,119,0,1654.2368240930869,138,43.947758229754555
2017-01-01,2017-01-31,1,366,27,150,69,50,0,634.321697467488,82,57.699429400136395
2017-01-01,2017-01-31,2,768,39,322,177,98,0,1614.198494182067,142,47.57779187429824
2017-02-01,2017-02-28,1,267,26,87,57,42,0,559.0581793292265,68,47.7588934161296
2017-02-01,2017-02-28,2,570,34,246,133,63,0,1424.1396303901438,98,40.024165316138856
2017-03-01,2017-03-31,1,267,25,106,57,38,0,598.5462012320328,55,44.60808529908197
2017-03-01,2017-03-31,2,564,43,253,129,61,0,1535.028062970568,91,36.741999290133755
2017-04-01,2017-04-30,1,249,20,98,59,25,0,565.1498973305955,59,44.05910735826296
2017-04-01,2017-04-30,2,504,29,211,123,49,0,1450.2149212867898,66,34.75346947559993
2017-05-01,2017-05-31,1,249,25,101,48,32,0,592.2135523613963,59,42.04564367146543
2017-05-01,2017-05-31,2,537,29,236,129,56,0,1510.444900752909,81,35.552438869655056
2017-06-01,2017-06-30,1,225,22,84,53,22,0,577.2183436002738,58,38.98005018284961
2017-06-01,2017-06-30,2,471,28,206,119,41,0,1471.0773442847365,82,32.01735121745135
2017-07-01,2017-07-31,1,263,34,93,57,35,0,623.8165639972622,67,42.15982953622794
2017-07-01,2017-07-31,2,483,42,190,135,44,0,1576.662559890486,103,30.634329265327953
2017-08-01,2017-08-31,1,273,27,96,71,32,0,623.8439425051334,76,43.760944268165844
2017-08-01,2017-08-31,2,505,38,204,129,40,0,1573.2511978097193,85,32.0991333553765
2017-09-01,2017-09-30,1,254,22,96,62,34,0,603.4934976043805,66,42.08827452296916
2017-09-01,2017-09-30,2,486,32,196,122,49,0,1521.1471594798084,87,31.949571543505296
2017-10-01,2017-10-31,1,280,32,105,49,31,0,622.7816563997262,66,44.95957726479419
2017-10-01,2017-10-31,2,556,59,234,123,53,0,1567.3210130047912,88,35.474545124234886
2017-11-01,2017-11-30,1,313,27,122,76,27,0,607.6495550992471,82,51.50995296110731
2017-11-01,2017-11-30,2,604,41,271,148,54,0,1521.930184804928,103,39.68644593755903
2017-12-01,2017-12-31,1,444,53,173,86,62,0,631.6988364134154,98,70.28665788287508
2017-12-01,2017-12-31,2,839,60,353,171,116,0,1578.6392881587954,132,53.14703658354694
2018-01-01,2018-01-31,1,443,30,174,84,76,0,608.4544832306639,106,72.8074181733097
2018-01-01,2018-01-31,2,995,55,420,195,197,0,1524.9472963723476,153,65.2481565997052
2018-02-01,2018-02-28,1,293,28,103,70,47,0,546.9048596851471,74,53.57421767447449
2018-02-01,2018-02-28,2,607,37,272,113,79,0,1368.5913757700205,113,44.35217192995091
2018-03-01,2018-03-31,1,312,34,111,68,39,0,613.4893908281998,82,50.856625177952225
2018-03-01,2018-03-31,2,663,51,268,166,81,0,1528.5256673511292,103,43.37513030768735
2018-04-01,2018-04-30,1,258,22,88,66,30,0,596.1943874058863,59,43.27447648787656
2018-04-01,2018-04-30,2,533,28,227,132,56,0,1480.4271047227926,93,36.00312357830028
2018-05-01,2018-05-31,1,259,30,97,50,28,0,620.3887748117727,49,41.74801519878904
2018-05-01,2018-05-31,2,500,45,187,125,52,0,1538.7433264887063,77,32.494048318049344
2018-06-01,2018-06-30,1,236,21,91,57,26,0,598.5051334702259,60,39.43157490256353
2018-06-01,2018-06-30,2,454,44,184,96,43,0,1487.2826830937715,68,30.525468033797836
2018-07-01,2018-07-31,1,224,23,81,48,24,0,635.9890485968514,44,35.220732258550555
2018-07-01,2018-07-31,2,473,46,175,108,46,0,1568.0793976728269,84,30.164288919424312
2018-08-01,2018-08-31,1,259,28,81,57,32,0,645.514031485284,72,40.123062763493856
2018-08-01,2018-08-31,2,454,41,199,109,33,0,1579.9151266255988,78,28.73572082126073
2018-09-01,2018-09-30,1,254,28,106,52,30,0,626.9377138945928,57,40.51439152099009
2018-09-01,2018-09-30,2,459,35,183,92,54,0,1530.858316221766,79,29.983179706194804
2018-10-01,2018-10-31,1,293,25,105,72,33,0,642.8254620123203,71,45.58002402126138
2018-10-01,2018-10-31,2,528,41,222,110,54,0,1576.8678986995208,91,33.48409847365488
2018-11-01,2018-11-30,1,316,39,100,69,34,0,624.974674880219,84,50.56204878390692
2018-11-01,2018-11-30,2,529,37,224,125,49,0,1533.6427104722793,87,34.49304041859244
2018-12-01,2018-12-31,1,354,32,148,70,36,0,644.643394934976,83,54.91408161185105
2018-12-01,2018-12-31,2,660,56,251,168,68,0,1586.8720054757016,104,41.59125611407769
2019-01-01,2019-01-31,1,339,35,123,70,39,0,635.2881587953456,78,53.36161162563191
2019-01-01,2019-01-31,2,646,42,244,145,78,0,1575.2689938398357,126,41.00886912179531
2019-02-01,2019-02-28,1,261,24,105,51,29,0,568.4736481861738,55,45.91241842656585
2019-02-01,2019-02-28,2,573,38,234,128,72,0,1407.2881587953457,89,40.71660778347587
2019-03-01,2019-03-31,1,288,31,95,70,32,0,630.7214236824093,60,45.66199738682386
2019-03-01,2019-03-31,2,547,38,226,125,64,0,1555.8576317590691,76,35.15745842256505
2019-04-01,2019-04-30,1,313,22,115,85,33,0,615.8494182067077,72,50.824112314894265
2019-04-01,2019-04-30,2,519,46,206,122,51,0,1509.305954825462,98,34.38666615875227
2019-05-01,2019-05-31,1,257,28,98,54,33,0,640.8952772073922,59,40.1001550705507
2019-05-01,2019-05-31,2,531,51,212,114,51,0,1570.694045174538,82,33.80671121987952
2019-06-01,2019-06-30,1,248,31,94,56,25,0,623.8110882956879,61,39.755625485523176
2019-06-01,2019-06-30,2,504,31,208,117,54,0,1520.1204654346338,69,33.15526706338343
2019-07-01,2019-07-31,1,301,27,119,69,24,0,645.9794661190965,70,46.59590835113417
2019-07-01,2019-07-31,2,468,38,189,117,33,0,1571.5290896646131,67,29.779913275412415
2019-08-01,2019-08-31,1,277,31,112,51,20,0,655.8110882956879,64,42.237773185547
2019-08-01,2019-08-31,2,511,47,207,129,31,0,1588.640657084189,89,32.165864427635626
2019-09-01,2019-09-30,1,278,33,87,59,33,0,631.2416153319645,76,44.040188930478266
2019-09-01,2019-09-30,2,539,58,234,110,44,0,1526.2012320328543,72,35.31644377472217
2019-10-01,2019-10-31,1,322,33,113,77,33,0,656.0876112251882,83,49.078811196982095
2019-10-01,2019-10-31,2,562,43,203,138,66,0,1583.4770704996577,90,35.49151487382535
2019-11-01,2019-11-30,1,309,29,126,69,31,0,636.5831622176592,61,48.540397914946325
2019-11-01,2019-11-30,2,632,44,263,134,74,0,1536.5503080082135,99,41.13109715354804
2019-12-01,2019-12-31,1,328,33,131,68,34,0,671.2470910335386,68,48.86427135124994
2019-12-01,2019-12-31,2,755,55,331,153,89,0,1610.8665297741272,131,46.86918413444624
2020-01-01,2020-01-31,1,403,46,153,90,46,0,673.2210814510609,98,59.8614646961699
2020-01-01,2020-01-31,2,662,44,283,128,96,0,1605.4182067077343,128,41.23536143006486
2020-02-01,2020-02-29,1,312,21,110,59,33,0,617.80424366872,76,50.50143361710237
2020-02-01,2020-02-29,2,562,47,215,120,58,0,1480.4079397672826,83,37.96250917759502
2020-03-01,2020-03-31,1,369,33,148,66,51,13,668.6242299794661,57,55.18794914317302
2020-03-01,2020-03-31,2,649,40,270,147,92,26,1597.5441478439425,79,40.62485539920103
2020-04-01,2020-04-30,1,845,33,175,67,478,441,622.6228610540726,76,135.7161859700193
2020-04-01,2020-04-30,2,1343,36,342,161,669,616,1515.6413415468858,84,88.60935388772877
2020-05-01,2020-05-31,1,527,29,86,74,282,247,615.523613963039,83,85.61816119562317
2020-05-01,2020-05-31,2,933,43,234,133,408,368,1520.3312799452428,78,61.36820391103204
2020-06-01,2020-06-30,1,244,25,73,55,43,25,582.7049965776865,38,41.873675604816924
2020-06-01,2020-06-30,2,497,25,180,114,81,52,1441.5195071868584,71,34.477507763311586
2020-07-01,2020-07-31,1,260,33,76,63,28,0,615.8576317590691,46,42.217549412737505
2020-07-01,2020-07-31,2,454,31,168,120,36,5,1511.3921971252566,56,30.038530095863315
2020-08-01,2020-08-31,1,232,31,78,55,15,0,617.5934291581109,47,37.56516650707522
2020-08-01,2020-08-31,2,437,39,163,112,32,3,1514.8446269678302,64,28.847843021017646
2020-09-01,2020-09-30,1,238,24,77,53,29,2,592.4845995893224,46,40.169820475497325
2020-09-01,2020-09-30,2,484,45,166,108,49,6,1460.3860369609856,61,33.141921913139335
2020-10-01,2020-10-31,1,357,28,103,74,76,50,622.0780287474332,77,57.388299136496876
2020-10-01,2020-10-31,2,572,45,199,123,95,54,1518.4175222450376,91,37.67079815795832
2020-11-01,2020-11-30,1,205,3,8,6,7,6,598.0698151950719,3,34.276934697521114
2020-11-01,2020-11-30,2,366,7,18,19,23,18,1460.8213552361397,8,25.054398245762
