cal_yr,age_yr,sex,N,x,h,pt,age_m,age_s,rate
2015,70,1,191,34,12,154.2943189596167,70,0,22.035808077223365
2015,70,2,191,26,6,156.36960985626283,70,0,16.627271772244985
2015,71,1,219,46,20,166.1409993155373,71,0,27.687325939719525
2015,71,2,259,46,13,197.24298425735796,71,0,23.321488555446056
2015,72,1,260,49,17,208.85694729637234,72,0,23.461034279347185
2015,72,2,315,52,12,246.51334702258728,72,0,21.09419251657615
2015,73,1,306,64,20,231.38124572210813,73,0,27.65997728133283
2015,73,2,328,58,18,254.9158110882957,73,0,22.752609872406236
2015,74,1,336,68,24,247.5318275154004,74,0,27.471214785811462
2015,74,2,381,67,16,302.40109514031485,74,0,22.156004418208816
2015,75,1,335,68,16,251.02258726899385,75,0,27.08919573326353
2015,75,2,432,76,19,335.61943874058863,75,0,22.644695517396094
2015,76,1,373,89,23,273.93839835728954,76,0,32.489056128568
2015,76,2,489,90,21,373.7522245037645,76,0,24.080124237252132
2015,77,1,415,92,30,314.4640657084189,77,0,29.256124954291383
2015,77,2,605,106,24,465.8179329226557,77,0,22.75567179969437
2015,78,1,433,104,38,328.249144421629,78,0,31.683250898718025
2015,78,2,721,135,30,550.403832991102,78,0,24.527445469694328
2015,79,1,466,118,38,333.9548254620123,79,0,35.33412036695443
2015,79,2,759,158,35,566.2970568104039,79,0,27.900551150647843
2015,80,1,519,160,42,355.1759069130732,80,0,45.04810064134189
2015,80,2,873,187,37,660.01916495551,80,0,28.332510619234085
2015,81,1,545,134,36,394.2696783025325,81,0,33.98688952620359
2015,81,2,919,191,51,706.0150581793292,81,0,27.05324734752125
2015,82,1,587,172,50,421.5605749486653,82,0,40.80077934729664
2015,82,2,1085,210,54,834.1464750171116,82,0,25.17543456569688
2015,83,1,581,163,45,407.129363449692,83,0,40.03641462233699
2015,83,2,1202,253,63,916.6242299794661,83,0,27.601277789227503
2015,84,1,619,204,46,425.77960301163586,84,0,47.91211193703542
2015,84,2,1387,333,70,1049.5195071868584,84,0,31.72880520273284
2015,85,1,592,184,49,406.1930184804928,85,0,45.29866138229466
2015,85,2,1519,357,83,1134.8637919233402,85,0,31.457519619598127
2015,86,1,591,197,47,390.17659137577004,86,0,50.4899587403166
2015,86,2,1609,395,83,1206.1190965092403,86,0,32.74966801729715
2015,87,1,631,214,52,419.93702943189595,87,0,50.96002138451709
2015,87,2,1620,434,88,1191.9917864476386,87,0,36.40964685615849
2015,88,1,539,187,43,368.24366872005476,88,0,50.781592701913
2015,88,2,1523,405,81,1134.6611909650924,88,0,35.693474248072675
2015,89,1,496,157,27,334.7789185489391,89,0,46.89662081486449
2015,89,2,1609,427,77,1202.2505133470227,89,0,35.516724281634716
2015,90,1,457,182,35,294.403832991102,90,0,61.81984729984842
2015,90,2,1567,454,87,1137.7796030116358,90,0,39.90227973838594
2015,91,1,419,175,30,266.08624229979466,91,0,65.7681503889369
2015,91,2,1426,394,78,1073.141683778234,91,0,36.71463013279247
2015,92,1,363,150,32,239.24709103353868,92,0,62.69668707444069
2015,92,2,1357,419,55,986.8281998631074,92,0,42.45926495190587
2015,93,1,305,124,23,203.1895961670089,93,0,61.026746614565795
2015,93,2,1171,370,65,860.454483230664,93,0,43.00053137160693
2015,94,1,266,109,20,174.6255989048597,94,0,62.41925621648741
2015,94,2,1087,383,63,779.8275154004107,94,0,49.11342475564543
2015,95,1,223,98,23,147.90965092402465,95,0,66.25666370501999
2015,95,2,901,286,55,654.0451745379877,95,0,43.72786638201683
2015,96,1,173,80,13,111.35660506502396,96,0,71.84127062178841
2015,96,2,709,269,36,494.2505133470226,96,0,54.42584129621936
2015,97,1,81,33,4,51.27173169062286,97,0,64.36295188764885
2015,97,2,425,161,13,300.12320328542097,97,0,53.644636015325666
2015,98,1,35,21,4,20.70362765229295,98,0,101.43149960327955
2015,98,2,311,112,9,225.60711841204653,98,0,49.643823647197316
2015,99,1,44,21,4,29.253935660506503,99,0,71.78521291530183
2015,99,2,223,78,9,160.03011635865846,99,0,48.74082564883406
2015,ge100,1,81,38,4,51.304585900068446,101.60493827160494,3.645816137525585,74.06745290570468
2015,ge100,2,442,204,21,300.42162902121834,101.40497737556561,1.5968428671425743,67.90456488257435
2016,70,1,247,38,15,205.30869267624914,70,0,18.50871461147635
2016,70,2,242,35,10,188.76386036960986,70,0,18.541684796797494
2016,71,1,189,41,18,147.00889801505818,71,0,27.889468293137163
2016,71,2,220,32,13,174.4229979466119,71,0,18.34620455829723
2016,72,1,236,45,15,174.01779603011636,72,0,25.85942416614223
2016,72,2,280,39,14,215.9835728952772,72,0,18.05692881046547
2016,73,1,268,52,15,207.46611909650923,73,0,25.064333504889348
2016,73,2,339,65,15,255.27446954140999,73,0,25.462789176203092
2016,74,1,323,66,27,244.90622861054072,74,0,26.949090014756518
2016,74,2,351,60,20,275.3319644079398,74,0,21.791875901158456
2016,75,1,342,88,22,258.6995208761123,75,0,34.016298020954594
2016,75,2,421,78,24,313.80424366872006,75,0,24.856260415121664
2016,76,1,334,96,26,249.83162217659137,76,0,38.42588026432587
2016,76,2,491,91,20,364.2217659137577,76,0,24.984778098502616
2016,77,1,395,88,21,300.27652292950035,77,0,29.30632043473504
2016,77,2,538,115,28,402.84188911704314,77,0,28.547180198181298
2016,78,1,438,102,29,314.76522929500345,78,0,32.405104028947186
2016,78,2,665,134,39,506.02874743326487,78,0,26.480708987323283
2016,79,1,454,116,36,324.37234770705,79,0,35.76137140542046
2016,79,2,738,132,33,583.9178644763861,79,0,22.60591909075564
2016,80,1,479,137,49,338.47775496235454,80,0,40.47533345736033
2016,80,2,816,185,45,606.9048596851471,80,0,30.48253726226136
2016,81,1,497,136,33,353.0239561943874,81,0,38.52429774627352
2016,81,2,909,203,36,683.8877481177276,81,0,29.68323391648985
2016,82,1,546,170,40,383.3894592744695,82,0,44.34133382845472
2016,82,2,971,222,41,722.1930184804928,82,0,30.7397045276195
2016,83,1,545,188,51,369.65639972621494,83,0,50.85804009865424
