cal_yr,age_yr,sex,N,x,pt,age_m,age_s,rate
2016,70,1,204,44,160.66255989048597,70,0,27.386592140690503
2016,70,2,193,28,156.9637234770705,70,0,17.83851668381853
2016,71,1,209,40,162.73511293634496,71,0,24.579821329430175
2016,71,2,237,43,184.2299794661191,71,0,23.34039233169862
2016,72,1,242,51,196.12046543463381,72,0,26.00442533469211
2016,72,2,313,56,246.52977412731005,72,0,22.71530901216059
2016,73,1,313,67,236.2819986310746,73,0,28.355947718476976
2016,73,2,335,60,265.9219712525667,73,0,22.563009636767976
2016,74,1,338,68,255.32375085557837,74,0,26.632853297875762
2016,74,2,371,70,290.3271731690623,74,0,24.11072971086928
2016,75,1,336,70,251.17864476386038,75,0,27.8686112291946
2016,75,2,429,71,340.60232717316904,75,0,20.845424219283792
2016,76,1,381,96,272.1779603011636,76,0,35.271041010733
2016,76,2,482,100,359.4113620807666,76,0,27.823271757760427
2016,77,1,410,82,315.98357289527723,77,0,25.950716123833534
2016,77,2,631,112,486.60369609856264,77,0,23.016676794274524
2016,78,1,437,112,324.69541409993155,78,0,34.493865677305116
2016,78,2,713,139,545.678302532512,78,0,25.4728838135759
2016,79,1,473,122,340.6132785763176,79,0,35.8177463045278
2016,79,2,760,155,561.3524982888432,79,0,27.61188388267312
2016,80,1,482,142,343.57563312799454,80,0,41.33005554183168
2016,80,2,882,201,654.5817932922656,80,0,30.7066285771647
2016,81,1,543,137,398.81998631074606,81,0,34.35133762159416
2016,81,2,906,183,696.517453798768,81,0,26.273569887147556
2016,82,1,561,172,406.54893908281997,82,0,42.30732968779463
2016,82,2,1071,215,820.3230663928816,82,0,26.209186210671408
2016,83,1,596,171,429.31690622861055,83,0,39.83071654507423
2016,83,2,1217,254,931.296372347707,83,0,27.273809663801316
2016,84,1,616,208,417.28131416837783,84,0,49.84646878198567
2016,84,2,1391,335,1043.9671457905545,84,0,32.08913243589844
2016,85,1,599,194,418.88843258042436,85,0,46.313047797698026
2016,85,2,1472,363,1114.7104722792608,85,0,32.564509711456274
2016,86,1,568,197,382.7460643394935,86,0,51.470156940728764
2016,86,2,1634,423,1214.6694045174538,86,0,34.82429033174202
2016,87,1,601,201,417.0732375085558,87,0,48.192974740048314
2016,87,2,1594,415,1189.3798767967146,87,0,34.892132286422616
2016,88,1,544,201,378.2012320328542,88,0,53.146310211527606
