x,male,female
0,77.05,81.08
1,76.31,80.34
2,75.33,79.36
3,74.34,78.36
4,73.35,77.37
5,72.36,76.38
6,71.36,75.39
7,70.37,74.4
8,69.38,73.4
9,68.38,72.4
10,67.38,71.41
11,66.39,70.41
12,65.39,69.42
13,64.4,68.42
14,63.41,67.43
15,62.42,66.45
16,61.43,65.46
17,60.45,64.47
18,59.48,63.48
19,58.51,62.5
20,57.55,61.51
21,56.58,60.53
22,55.61,59.55
23,54.64,58.56
24,53.68,57.58
25,52.72,56.6
26,51.77,55.61
27,50.81,54.63
28,49.86,53.65
29,48.91,52.67
30,47.97,51.69
31,47.03,50.72
32,46.09,49.75
33,45.16,48.78
34,44.22,47.82
35,43.29,46.85
36,42.36,45.89
37,41.44,44.95
38,40.52,44
39,39.6,43.04
40,38.7,42.11
41,37.8,41.17
42,36.91,40.23
43,36.03,39.29
44,35.14,38.36
45,34.25,37.43
46,33.37,36.5
47,32.5,35.57
48,31.62,34.65
49,30.74,33.72
50,29.88,32.8
51,29.01,31.9
52,28.14,30.99
53,27.28,30.1
54,26.42,29.2
55,25.57,28.31
56,24.72,27.42
57,23.89,26.54
58,23.06,25.67
59,22.24,24.8
60,21.43,23.94
61,20.63,23.09
62,19.85,22.25
63,19.07,21.41
64,18.3,20.6
65,17.53,19.78
66,16.79,18.98
67,16.07,18.18
68,15.34,17.39
69,14.63,16.61
70,13.93,15.83
71,13.24,15.09
72,12.57,14.35
73,11.91,13.62
74,11.28,12.92
75,10.66,12.22
76,10.07,11.55
77,9.51,10.9
78,8.95,10.28
79,8.39,9.67
80,7.88,9.07
81,7.38,8.48
82,6.9,7.93
83,6.45,7.38
84,6.03,6.86
85,5.62,6.38
86,5.23,5.92
87,4.86,5.49
88,4.5,5.08
89,4.19,4.72
90,3.9,4.38
91,3.63,4.05
92,3.38,3.75
93,3.16,3.46
94,2.91,3.2
95,2.7,2.96
96,2.51,2.77
97,2.33,2.57
98,2.12,2.4
99,1.94,2.25
100,1.82,2.08
