hb,location,month_label,deaths,pats,crd_rate,sex
Scotland,Scot,2007M04,1406,240110,5.855649493981925,1
Scotland,Scot,2007M04,1811,360325,5.02601817803372,2
Scotland,Scot,2007M05,1449,240110,6.034734080213235,1
Scotland,Scot,2007M05,1749,360325,4.853951293970721,2
Scotland,Scot,2007M06,1311,240110,5.459997501145309,1
Scotland,Scot,2007M06,1649,360325,4.576424061611045,2
Scotland,Scot,2007M07,1284,240110,5.347549040023322,1
Scotland,Scot,2007M07,1697,360325,4.70963713314369,2
Scotland,Scot,2007M08,1353,240110,5.634917329557287,1
Scotland,Scot,2007M08,1669,360325,4.6319295080829805,2
Scotland,Scot,2007M09,1284,240110,5.347549040023322,1
Scotland,Scot,2007M09,1687,360325,4.681884409907722,2
Scotland,Scot,2007M10,1412,240110,5.880638040897922,1
Scotland,Scot,2007M10,1745,360325,4.842850204676334,2
Scotland,Scot,2007M11,1415,240110,5.8931323143559204,1
Scotland,Scot,2007M11,1875,360325,5.203635606743912,2
Scotland,Scot,2007M12,1505,240110,6.267960518095873,1
Scotland,Scot,2007M12,2131,360325,5.91410532158468,2
Scotland,Scot,2008M01,1581,245415,6.442149012896522,1
Scotland,Scot,2008M01,2285,362943,6.295754429758943,2
Scotland,Scot,2008M02,1507,245415,6.140618951571827,1
Scotland,Scot,2008M02,1913,362943,5.270800098087027,2
Scotland,Scot,2008M03,1523,245415,6.205814640506897,1
Scotland,Scot,2008M03,2083,362943,5.739193206646774,2
Scotland,Scot,2008M04,1444,245415,5.8839109263899925,1
Scotland,Scot,2008M04,1996,362943,5.499486145207374,2
Scotland,Scot,2008M05,1313,245415,5.3501212232341135,1
Scotland,Scot,2008M05,1819,362943,5.011806261589285,2
Scotland,Scot,2008M06,1217,245415,4.958947089623698,1
Scotland,Scot,2008M06,1655,362943,4.5599446745081185,2
Scotland,Scot,2008M07,1247,245415,5.081189006376953,1
Scotland,Scot,2008M07,1748,362943,4.816183257426097,2
Scotland,Scot,2008M08,1226,245415,4.995619664649675,1
Scotland,Scot,2008M08,1690,362943,4.656378549799831,2
Scotland,Scot,2008M09,1213,245415,4.9426481673899305,1
Scotland,Scot,2008M09,1672,362943,4.606783985364093,2
Scotland,Scot,2008M10,1455,245415,5.928732962532853,1
Scotland,Scot,2008M10,1831,362943,5.044869304546444,2
Scotland,Scot,2008M11,1382,245415,5.6312776317666,1
Scotland,Scot,2008M11,1862,362943,5.1302821655191035,2
Scotland,Scot,2008M12,1704,245415,6.943340871584867,1
Scotland,Scot,2008M12,2412,362943,6.645671634388871,2
Scotland,Scot,2009M01,1674,250940,6.670917350761139,1
Scotland,Scot,2009M01,2439,365628,6.6707144967015655,2
Scotland,Scot,2009M02,1406,250940,5.602932972025185,1
Scotland,Scot,2009M02,1871,365628,5.117222969794436,2
Scotland,Scot,2009M03,1453,250940,5.790228739937834,1
Scotland,Scot,2009M03,1838,365628,5.0269673000973665,2
Scotland,Scot,2009M04,1329,250940,5.2960867139555265,1
Scotland,Scot,2009M04,1818,365628,4.972266894220355,2
Scotland,Scot,2009M05,1324,250940,5.276161632262692,1
Scotland,Scot,2009M05,1719,365628,4.701499885129148,2
Scotland,Scot,2009M06,1249,250940,4.977285406870168,1
Scotland,Scot,2009M06,1574,365628,4.304921942520814,2
Scotland,Scot,2009M07,1206,250940,4.8059297043117875,1
Scotland,Scot,2009M07,1639,365628,4.482698261621101,2
Scotland,Scot,2009M08,1296,250940,5.164581174782817,1
Scotland,Scot,2009M08,1639,365628,4.482698261621101,2
Scotland,Scot,2009M09,1320,250940,5.260221566908425,1
Scotland,Scot,2009M09,1679,365628,4.592099073375124,2
Scotland,Scot,2009M10,1370,250940,5.459472383836774,1
Scotland,Scot,2009M10,1819,365628,4.9750019145142055,2
Scotland,Scot,2009M11,1399,250940,5.575037857655216,1
Scotland,Scot,2009M11,1801,365628,4.925771549224895,2
Scotland,Scot,2009M12,1558,250940,6.208655455487368,1
Scotland,Scot,2009M12,2114,365628,5.7818329012001275,2
Scotland,Scot,2010M01,1619,256353,6.315510253439593,1
Scotland,Scot,2010M01,2294,368886,6.218723399641081,2
Scotland,Scot,2010M02,1477,256353,5.761586562279357,1
Scotland,Scot,2010M02,1793,368886,4.860580233459659,2
Scotland,Scot,2010M03,1452,256353,5.664064785666639,1
Scotland,Scot,2010M03,1881,368886,5.099136318537434,2
Scotland,Scot,2010M04,1319,256353,5.145248934086982,1
Scotland,Scot,2010M04,1809,368886,4.903954067110164,2
Scotland,Scot,2010M05,1301,256353,5.075033254925825,1
Scotland,Scot,2010M05,1733,368886,4.697928357270268,2
Scotland,Scot,2010M06,1325,256353,5.168654160474034,1
Scotland,Scot,2010M06,1640,368886,4.4458179491767105,2
Scotland,Scot,2010M07,1187,256353,4.630333953571833,1
Scotland,Scot,2010M07,1700,368886,4.608469825366102,2
Scotland,Scot,2010M08,1339,256353,5.223266355377156,1
Scotland,Scot,2010M08,1678,368886,4.548830804096658,2
Scotland,Scot,2010M09,1299,256353,5.067231512796808,1
Scotland,Scot,2010M09,1726,368886,4.678952305048171,2
Scotland,Scot,2010M10,1438,256353,5.609452590763517,1
Scotland,Scot,2010M10,1807,368886,4.898532337903851,2
